Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,Colorado Avalanche*,82,270,192,80,363,22.04,59,342,82.75,11,11,2395,11.3,2059,.907
2,Detroit Red Wings*,82,253,202,85,384,22.14,55,385,85.71,10,7,2650,9.5,2221,.909
3,New Jersey Devils*,82,295,195,71,310,22.90,49,320,84.69,9,6,2588,11.4,2024,.904
4,Ottawa Senators*,82,274,205,71,381,18.64,49,361,86.43,10,5,2476,11.1,2235,.908
5,Dallas Stars*,82,241,187,72,367,19.62,49,355,86.20,7,7,2100,11.5,2043,.908
6,St. Louis Blues*,82,249,195,72,385,18.70,57,389,85.35,15,7,2494,10.0,1933,.899
7,Philadelphia Flyers*,82,240,207,55,350,15.71,55,314,82.48,11,9,2452,9.8,2144,.903
8,Buffalo Sabres*,82,218,184,60,373,16.09,40,334,88.02,6,5,2204,9.9,2195,.916
9,Washington Capitals*,82,233,211,75,353,21.25,62,391,84.14,6,7,2348,9.9,2273,.907
10,Pittsburgh Penguins*,82,281,256,76,375,20.27,78,405,80.74,7,11,2394,11.7,2397,.893
11,San Jose Sharks*,82,217,192,57,406,14.04,61,441,86.17,8,10,2266,9.6,2169,.911
12,Edmonton Oilers*,82,243,222,59,398,14.82,62,382,83.77,13,4,2145,11.3,2139,.896
13,Los Angeles Kings*,82,252,228,71,367,19.35,72,382,81.15,14,6,2288,11.0,2160,.894
14,Toronto Maple Leafs*,82,232,207,57,355,16.06,55,366,84.97,2,9,2276,10.2,2244,.908
15,Vancouver Canucks*,82,239,238,71,416,17.07,74,387,80.88,12,11,2434,9.8,2121,.888
16,Phoenix Coyotes,82,214,212,57,343,16.62,64,432,85.19,9,6,2055,10.4,2430,.913
17,Boston Bruins,82,227,249,64,390,16.41,65,377,82.76,8,7,2359,9.6,2190,.886
18,Carolina Hurricanes*,82,212,225,72,382,18.85,45,351,87.18,6,16,2217,9.6,2206,.898
19,Nashville Predators,82,186,200,51,361,14.13,49,331,85.20,7,4,2182,8.5,2347,.915
20,Calgary Flames,82,197,236,65,435,14.94,76,378,79.89,3,11,2230,8.8,2224,.894
21,New York Rangers,82,250,290,65,363,17.91,86,400,78.50,16,12,2345,10.7,2575,.887
22,Columbus Blue Jackets,82,190,233,56,381,14.70,70,363,80.72,3,8,2082,9.1,2475,.906
23,Chicago Blackhawks,82,210,246,41,318,12.89,52,323,83.90,15,12,2160,9.7,2190,.888
24,Montreal Canadiens,82,206,232,68,421,16.15,60,337,82.20,5,3,2147,9.5,2296,.899
25,Minnesota Wild,82,168,210,36,374,9.63,57,373,84.72,13,14,2020,8.3,2307,.909
26,Florida Panthers,82,200,246,46,353,13.03,64,398,83.92,8,13,2170,9.2,2559,.904
27,Mighty Ducks of Anaheim,82,188,245,66,373,17.69,71,390,81.79,6,13,2123,8.9,2417,.899
28,Atlanta Thrashers,82,211,289,54,395,13.67,90,408,77.94,9,8,2291,9.2,2655,.891
29,Tampa Bay Lightning,82,201,280,53,424,12.50,72,422,82.94,9,11,2014,10.0,2557,.890
30,New York Islanders,82,185,268,51,386,13.21,79,445,82.25,9,14,2257,8.2,2377,.888
Rk,Team,GP,GF,GA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%
1,Detroit Red Wings*,82,251,187,73,359,20.33,48,343,86.01,9,7,2538,9.9,2159,.913
2,Boston Bruins*,82,236,201,39,283,13.78,45,349,87.11,14,5,2595,9.1,2057,.902
3,Toronto Maple Leafs*,82,249,207,54,349,15.47,51,328,84.45,9,6,2339,10.6,2044,.899
4,Colorado Avalanche*,82,212,169,62,344,18.02,41,315,86.98,7,7,2252,9.4,2177,.922
5,San Jose Sharks*,82,248,199,59,369,15.99,54,381,85.83,15,6,2227,11.1,2335,.915
6,St. Louis Blues*,82,227,188,62,356,17.42,56,379,85.22,5,7,2378,9.5,1847,.898
7,Philadelphia Flyers*,82,234,192,39,300,13.00,40,293,86.35,8,10,2442,9.6,2139,.910
8,New York Islanders*,82,239,220,59,363,16.25,52,366,85.79,17,10,2319,10.3,2285,.904
